,dep_count_per15,arr_count_per15,pb_count_per15,heavy_dep_per15,heavy_arr_per15,dep_demand_per15,,,,,,
492,2,0,1,2,0,3,,,,,,
493,1,1,0,0,0,1,,,,,,
494,0,0,0,0,0,0,,,,,,
495,0,1,0,0,0,0,,,,,,
496,0,2,0,0,1,0,,,,,,
497,0,0,0,0,0,0,,,,,,
498,0,1,0,0,0,0,,,,,,
499,0,1,0,0,0,0,,,,,,
500,0,2,0,0,2,0,,,,,,
501,0,3,0,0,3,0,,,,,,
502,0,1,0,0,0,0,,,,,,
503,0,1,1,0,0,1,,,,,,
504,1,3,0,0,3,1,,,,,,
505,0,3,0,0,3,0,,,,,,
506,1,1,3,0,1,3,,,,,,
507,7,2,10,0,2,12,,,,,,
508,13,0,18,2,0,23,,,,,,
509,16,3,14,3,3,24,,,,,,
510,14,0,14,6,0,22,,,,,,
511,14,0,17,3,0,25,,,,,,
512,18,1,21,4,1,32,,,,,,
513,18,0,23,3,0,37,,,,,,
514,17,2,18,7,0,37,,,,,,
515,22,4,21,7,0,41,,,,,,
516,19,3,22,9,1,41,,,,,,
517,20,4,15,7,2,38,,,,,,
518,10,8,7,3,3,25,,,,,,
519,11,12,10,2,2,24,,,,,,
520,11,8,8,3,1,21,,,,,,
521,3,12,5,1,3,15,,,,,,
522,8,13,5,3,4,17,,,,,,
523,6,15,14,2,1,23,,,,,,
524,11,13,15,3,4,32,,,,,,
525,11,12,7,5,3,28,,,,,,
526,12,11,6,3,2,23,,,,,,
527,8,13,13,1,6,24,,,,,,
528,11,13,13,3,6,29,,,,,,
529,16,10,17,4,1,35,,,,,,
530,15,7,7,4,4,26,,,,,,
531,15,11,12,5,5,23,,,,,,
532,11,13,11,1,3,20,,,,,,
533,11,10,8,1,5,17,,,,,,
534,9,9,13,4,5,18,,,,,,
535,14,9,14,7,0,23,,,,,,
536,10,12,16,4,4,25,,,,,,
537,11,12,8,4,4,23,,,,,,
538,10,11,9,5,3,21,,,,,,
539,10,10,8,4,3,19,,,,,,
540,12,11,17,1,0,27,,,,,,
541,14,10,8,5,5,22,,,,,,
542,10,8,13,5,3,21,,,,,,
543,9,9,11,2,5,23,,,,,,
544,9,13,10,7,4,24,,,,,,
545,10,13,10,4,6,24,,,,,,
546,15,11,8,3,3,22,,,,,,
547,10,11,11,1,8,19,,,,,,
548,8,12,8,3,3,16,,,,,,
549,13,12,15,2,3,24,,,,,,
550,12,11,10,7,3,21,,,,,,
551,10,10,13,3,3,21,,,,,,
552,9,14,8,4,4,19,,,,,,
553,9,15,8,2,4,18,,,,,,
554,10,11,9,4,4,18,,,,,,
555,10,12,13,5,3,21,,,,,,
556,9,15,5,2,3,16,,,,,,
557,11,12,13,5,2,20,,,,,,
558,11,13,13,1,1,22,,,,,,
559,10,8,11,4,2,22,,,,,,
560,12,11,9,2,1,21,,,,,,
561,15,9,17,7,2,26,,,,,,
562,17,7,14,5,2,25,,,,,,
563,13,11,13,1,5,22,,,,,,
564,10,13,7,3,1,16,,,,,,
565,7,14,10,1,5,15,,,,,,
566,7,12,7,1,1,15,,,,,,
567,9,10,2,1,0,10,,,,,,
568,5,10,7,1,3,8,,,,,,
569,3,14,11,1,8,15,,,,,,
570,10,15,7,3,3,18,,,,,,
571,8,9,3,0,1,11,,,,,,
572,3,11,3,1,5,6,,,,,,
573,5,11,4,0,6,7,,,,,,
574,3,13,7,2,4,9,,,,,,
575,6,12,0,1,3,6,,,,,,
576,0,14,0,0,6,0,,,,,,
577,3,13,1,0,5,1,,,,,,
578,2,14,1,2,2,2,,,,,,
579,1,16,3,0,2,3,,,,,,
580,2,12,2,1,4,4,,,,,,
581,4,14,2,2,5,4,,,,,,
582,1,2,2,0,2,2,,,,,,
583,1,3,3,1,1,4,,,,,,
584,3,3,1,3,0,4,,,,,,
585,2,5,2,2,1,3,,,,,,
586,2,1,1,2,1,2,,,,,,
587,1,3,2,1,0,2,,,,,,
588,1,1,0,1,0,1,,,,,,
589,0,0,1,0,0,1,,,,,,
590,1,0,1,0,0,2,,,,,,
591,1,1,0,1,0,1,,,,,,
592,0,0,1,0,0,1,,,,,,
593,1,1,0,0,1,1,,,,,,
594,0,2,0,0,0,0,,,,,,
595,0,2,0,0,0,0,,,,,,
596,0,1,0,0,1,0,,,,,,
597,0,1,0,0,1,0,,,,,,
598,0,2,1,0,2,1,,,,,,
599,1,1,1,1,1,2,,,,,,
600,2,3,1,0,2,2,,,,,,
601,0,2,1,0,2,1,,,,,,
602,1,4,3,0,2,4,,,,,,
603,4,2,7,0,1,10,,,,,,
604,12,0,15,1,0,21,,,,,,
605,6,3,12,3,3,21,,,,,,
606,12,1,18,2,1,33,,,,,,
