"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15","dep_taxi_per_window"
6,13,6,0,5,15,30.8333333333333
5,12,4,1,1,13,24
4,13,5,1,3,13,60.8
6,14,2,0,5,11,6
1,12,0,1,6,5,0
0,11,0,0,2,4,0
1,9,0,1,0,4,0
1,11,1,0,7,4,14
1,12,3,0,6,6,41.3333333333333
0,14,2,0,4,5,29.5
3,12,4,1,3,9,19
8,13,1,1,1,10,17
4,14,8,0,3,12,12.125
7,12,5,2,7,12,13.2
6,10,4,4,3,9,11.2
5,5,5,3,3,8,9.5
3,6,3,1,1,6,10.25
5,8,4,2,1,7,7.25
5,5,4,2,1,6,11
2,1,4,0,1,5,11.75
3,4,2,2,0,5,12
2,2,1,2,1,3,7
1,1,1,1,0,2,10
2,0,1,1,0,2,8
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,4,0,0,2,0,6
1,1,2,1,0,2,5
1,0,0,1,0,1,21
0,1,1,0,1,1,0
1,4,0,0,3,1,0
0,1,1,0,1,1,6
1,3,0,1,3,1,0
0,3,1,0,3,1,11
1,0,2,0,0,3,30.5
1,2,17,0,2,19,34.7058823529412
6,2,9,0,2,27,43.7
8,1,16,0,1,37,33.875
9,0,22,1,0,51,46.9545454545455
13,1,16,4,1,58,49.3333333333333
14,0,12,2,0,57,49.3076923076923
14,4,16,2,1,59,45.1764705882353
14,4,11,4,2,56,51.2
11,5,16,2,0,58,50.0625
16,3,12,7,1,59,48.7272727272727
8,9,6,4,2,49,43.6
16,6,15,4,0,56,39.75
17,9,15,5,2,55,20.3
16,9,13,5,1,51,46.9230769230769
15,13,13,3,3,48,44.9333333333333
10,13,11,4,4,44,29.7777777777778
9,15,10,3,1,44,34.4545454545455
18,10,13,6,1,48,27.1538461538462
17,9,15,3,1,45,24.3333333333333
17,10,12,3,3,40,19.2727272727273
17,9,16,7,4,39,18.9285714285714
18,10,12,3,4,34,23.0833333333333
12,9,11,4,2,27,16.7
12,5,10,5,3,25,18.6
12,13,13,3,4,26,17.7142857142857
9,15,10,3,6,24,16.3
