"X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","所走航路","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_may_15_per_dep","arr_may_15_per_dep","dep_may_60_per_dep","arr_may_60_per_dep","pb_may_15_per_dep","pb_may_60_per_dep"
86744,"CSN3684","ZBAA","ZYBS","36R",22,637,640,645,"CDY8AR",20140519,397,405,8,5,19,14,1,23,9,14,31
86745,"CCA1273","ZBAA","ZLLL","36R",6,634,630,643,"SOS8BR",20140519,394,403,9,5,19,7,4,23,9,12,31
86746,"CCA1613","ZBAA","ZYYJ","1",2,639,635,645,"CDY8B",20140519,399,405,6,5,19,14,1,23,9,14,31
86747,"CCA075","ZBAA","ZBDT","36R",31,630,610,646,"",20140519,390,406,16,5,19,14,1,23,9,14,31
86748,"CCA1109","ZBAA","ZBXH","1",5,640,640,647,"YV8C",20140519,400,407,7,5,19,14,1,23,9,14,31
86749,"CBJ5371","ZBAA","ZHYC","36L",25,644,640,648,"REN8AL",20140519,404,408,4,5,19,14,1,23,9,14,31
86750,"CCA1699","ZBAA","ZYTL","1",2,642,635,652,"TON8B",20140519,402,412,10,5,19,14,1,23,9,14,31
86751,"CES5869","ZBAA","ZPLJ","36L",18,646,635,651,"SOS8AL",20140519,406,411,5,5,19,14,1,23,9,14,31
86752,"CCA1601","ZBAA","ZYTX","1",2,641,640,650,"CDY8B",20140519,401,410,9,5,19,14,1,23,9,14,31
86753,"CCA1585","ZBAA","ZSYT","1",1,635,630,641,"TON8B",20140519,395,401,6,5,19,7,4,23,9,12,31
86754,"MEG189","ZBAA","VRMM","36L",20,545,540,549,"REN8AL",20140519,345,349,4,5,19,1,3,4,16,1,2
86755,"GIA891","ZBAA","WIII","36L",20,600,605,607,"REN8AL",20140519,360,367,7,5,19,1,2,23,9,1,31
86756,"CCA1103","ZBAA","ZBHH","36R",2,622,620,627,"SOS8BR",20140519,382,387,5,5,19,1,2,23,9,4,31
86757,"CES5716","ZBAA","ZPPP","36L",18,626,625,632,"SOS8AL",20140519,386,392,6,5,19,7,4,23,9,12,31
86758,"SVR704","ZBAA","USSS","36R",8,623,615,637,"YV8AR",20140519,383,397,14,5,19,7,4,23,9,12,31
86759,"CSN6600","ZBAA","ZGDY","36L",20,632,625,638,"REN8AL",20140519,392,398,6,5,19,7,4,23,9,12,31
86760,"ABW522A","ZBAA","UUEE","36R",29,448,500,458,"YV8AR",20140519,288,298,10,5,19,2,0,5,4,2,6
86761,"GEC8398","ZBAA","RKSI","36R",31,444,320,501,"TON8AR",20140519,284,301,17,5,19,1,3,4,16,0,2
86762,"SBI510","ZBAA","UIII","36R",11,457,435,519,"YV8AR",20140519,297,319,22,5,19,1,4,4,16,1,2
86763,"YZR7930","ZBAA","ZSPD","36R",30,522,345,533,"LAD8AR",20140519,322,333,11,5,19,1,6,4,16,0,2
86764,"ETD905","ZBAA","OMAA","36R",29,430,325,448,"SOS8BR",20140519,270,288,18,5,19,2,0,5,4,2,6
86765,"CSN3736","ZBAA","ZGSD","36L",21,246,2200,359,"REN8AL",20140519,166,239,73,5,19,1,4,3,10,0,1
86766,"EPA6223","ZBAA","ZSHC","36R",30,316,25,401,"LAD8AR",20140519,196,241,45,5,19,1,1,5,4,1,6
86767,"EPA6215","ZBAA","ZGSZ","36R",30,413,25,433,"REN8BR",20140519,253,273,20,5,19,2,2,5,4,3,6
86768,"CYZ9021","ZBAA","ZSPD","36L",18,437,300,443,"",20140519,277,283,6,5,19,2,2,5,4,3,6
86769,"CCA965","ZBAA","EDDF","36R",8,214,205,252,"YV8AR",20140519,134,172,38,5,19,3,1,9,18,1,9
86770,"TYA888","ZBAA","UNKL","36R",20,232,215,257,"YV8AR",20140519,152,177,25,5,19,3,1,9,18,1,9
