"","X.1","X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_window_per15","dep_window_per60","dep_36r_in_cluster","dep_36r_per_dep","arr_36r_per_dep"
"383",383,383,"GDC7127","ZBAA","ZYHB","36R","106",832,815,857,20140224,512,537,"25",2,24,2244,561,1,30,0
"385",385,385,"AMU007","ZBAA","VMMC","36R","522",842,830,900,20140224,522,540,"18",2,24,2245,562,1,27,2
"389",389,389,"CSN6132","ZBAA","ZYTL","36R","707",826,820,846,20140224,506,526,"20",2,24,2244,561,1,30,0
"392",392,392,"CSN3256","ZBAA","ZSGZ","36R","711",829,755,847,20140224,509,527,"18",2,24,2244,561,1,30,0
"393",393,393,"CCA1361","ZBAA","ZJHK","36R","406",830,825,849,20140224,510,529,"19",2,24,2244,561,1,30,0
"397",397,397,"CHH7115","ZBAA","ZBMZ","36R","W204",820,810,851,20140224,500,531,"31",2,24,2244,561,1,30,0
"398",398,398,"CES2467","ZBAA","ZYHB","36R","815",825,820,854,20140224,505,534,"29",2,24,2244,561,1,30,0
"400",400,400,"CCA1431","ZBAA","ZUCK","36R","333",837,830,855,20140224,517,535,"18",2,24,2244,561,1,30,0
"401",401,401,"CSN317","ZBAA","RKSS","36R","206",823,820,844,20140224,503,524,"21",2,24,2243,561,1,30,0
"402",402,402,"CSN3286","ZBAA","ZGNN","36R","609",819,810,836,20140224,499,516,"17",2,24,2243,561,1,30,0
"405",405,405,"CSZ9889","ZBAA","ZGSZ","36R","321",827,810,839,20140224,507,519,"12",2,24,2243,561,1,30,0
"406",406,406,"CHH7103","ZBAA","ZYMD","36R","W113",816,800,838,20140224,496,518,"22",2,24,2243,561,1,30,0
"407",407,407,"CCA1469","ZBAA","ZPLJ","36R","408",828,820,841,20140224,508,521,"13",2,24,2243,561,1,30,0
"409",409,409,"CHH7607","ZBAA","ZSSS","36R","W103",816,750,842,20140224,496,522,"26",2,24,2243,561,1,30,0
"416",416,416,"CCA1461","ZBAA","ZUGY","36R","459",810,750,830,20140224,490,510,"20",2,24,2243,561,1,30,0
"422",422,422,"CCA1231","ZBAA","ZLXY","36R","357",814,750,834,20140224,494,514,"20",2,24,2243,561,1,30,0
"423",423,423,"CSC8896","ZBAA","ZUUU","36R","559",815,800,833,20140224,495,513,"18",2,24,2243,561,1,30,0
"424",424,424,"CCA101","ZBAA","VHHH","36R","533",816,800,831,20140224,496,511,"15",2,24,2243,561,1,30,0
"427",427,427,"CHH7771","ZBAA","ZSAM","36R","113",810,745,823,20140224,490,503,"13",2,24,2242,561,1,30,0
"428",428,428,"CCA1877","ZBAA","ZGZJ","36R","462",745,745,820,20140224,465,500,"35",2,24,2242,561,1,30,0
"430",430,430,"CCA4125","ZBAA","ZULS","36R","356",757,750,822,20140224,477,502,"25",2,24,2242,561,1,30,0
"432",432,432,"CES2785","ZBAA","ZYTX","36R","240",806,805,825,20140224,486,505,"19",2,24,2242,561,1,30,0
"435",435,435,"CCA1369","ZBAA","ZJSY","36R","337",749,745,826,20140224,469,506,"37",2,24,2242,561,1,30,0
"436",436,436,"DAL618","ZBAA","RJAA","36R","217",812,750,828,20140224,492,508,"16",2,24,2242,561,1,30,0
"438",438,438,"CCA1459","ZBAA","ZUYB","36R","320",748,745,815,20140224,468,495,"27",2,24,2242,561,1,30,0
"439",439,439,"CCA1147","ZBAA","ZBYZ","36R","310",745,750,812,20140224,465,492,"27",2,24,2241,561,1,30,0
"441",441,441,"CES2091","ZBAA","ZSCN","36R","708",804,740,814,20140224,484,494,"10",2,24,2241,561,1,30,0
"444",444,444,"HDA937","ZBAA","VHHH","36R","525",753,740,817,20140224,473,497,"24",2,24,2242,561,1,30,0
"446",446,446,"CES5102","ZBAA","ZSSS","36R","224",759,800,818,20140224,479,498,"19",2,24,2242,561,1,30,0
"482",482,482,"GDC7129","ZBAA","ZYHB","36R","104",943,945,954,20140223,583,594,"11",2,23,2152,538,0,22,5
"483",483,483,"CNM1121","ZBAA","ZBOW","36R","323",953,955,958,20140223,593,598,"5",2,23,2152,538,0,22,5
