"","x01","x18l","x18r","x19","x36l","x36r","sum_dep","y01","y18l","y18r","y19","y36l","y36r","sum_arr","sum_per60","dep_prop_01","dep_prop_36l","dep_prop_36r","dep_prop_19","dep_prop_18r","dep_prop_18l","arr_prop_01","arr_prop_36l","arr_prop_36r","arr_prop_19","arr_prop_18r","arr_prop_18l"
"142",5,0,0,0,8,15,28,17,0,0,0,18,11,46,74,0.0675675675675676,0.108108108108108,0.202702702702703,0,0,0,0.22972972972973,0.243243243243243,0.148648648648649,0,0,0
"143",14,0,0,0,7,4,25,18,0,0,0,15,16,49,74,0.189189189189189,0.0945945945945946,0.0540540540540541,0,0,0,0.243243243243243,0.202702702702703,0.216216216216216,0,0,0
"144",10,0,0,0,4,0,14,7,0,0,0,17,21,45,59,0.169491525423729,0.0677966101694915,0,0,0,0,0.11864406779661,0.288135593220339,0.355932203389831,0,0,0
"145",5,2,0,0,1,0,8,0,0,0,0,28,27,55,63,0.0793650793650794,0.0158730158730159,0,0,0,0.0317460317460317,0,0.444444444444444,0.428571428571429,0,0,0
"146",1,0,0,0,3,5,9,0,0,0,0,9,13,22,31,0.032258064516129,0.0967741935483871,0.161290322580645,0,0,0,0,0.290322580645161,0.419354838709677,0,0,0
"147",0,0,0,0,1,5,6,0,0,0,0,4,6,10,16,0,0.0625,0.3125,0,0,0,0,0.25,0.375,0,0,0
"148",0,0,0,0,0,2,2,0,0,0,0,0,1,1,3,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"149",0,0,0,0,0,1,1,0,0,0,0,1,5,6,7,0,0,0.142857142857143,0,0,0,0,0.142857142857143,0.714285714285714,0,0,0
"150",0,0,0,0,0,3,3,0,0,0,0,0,7,7,10,0,0,0.3,0,0,0,0,0,0.7,0,0,0
"151",6,0,0,0,5,6,17,0,0,0,0,1,7,8,25,0.24,0.2,0.24,0,0,0,0,0.04,0.28,0,0,0
"152",9,0,0,0,11,24,44,1,0,0,0,3,2,6,50,0.18,0.22,0.48,0,0,0,0.02,0.06,0.04,0,0,0
"153",8,0,0,0,13,25,46,5,0,0,0,3,1,9,55,0.145454545454545,0.236363636363636,0.454545454545455,0,0,0,0.0909090909090909,0.0545454545454545,0.0181818181818182,0,0,0
"154",8,0,0,0,11,23,42,8,0,0,0,15,9,32,74,0.108108108108108,0.148648648648649,0.310810810810811,0,0,0,0.108108108108108,0.202702702702703,0.121621621621622,0,0,0
